Year,Count,AdjustedFemaleMPs,ukFemalePercentage,MaleMPs,PercentageofMaleMPs,TotalMPs,TotalMPs,usFemalePercentage
1918,1,1,0.141442716,706,99.85855728,707,100,0.1883239171
1919,2,2,0.282885431,705,99.71711457,707,100,0
1920,2,2,0.282885431,705,99.71711457,707,100,0
1921,3,3,0.424328147,704,99.57567185,707,100,0.5649717514
1922,3,3,0.487804878,612,99.51219512,615,100,0.5649717514
1923,8,8,1.300813008,607,98.69918699,615,100,0.1883239171
1924,9,9,1.463414634,606,98.53658537,615,100,0.1883239171
1925,4,4,0.650406504,611,99.3495935,615,100,0.5649717514
1926,6,6,0.975609756,609,99.02439024,615,100,0.5649717514
1927,7,7,1.138211382,608,98.86178862,615,100,0.9416195857
1928,8,8,1.300813008,607,98.69918699,615,100,0.9416195857
1929,17,17,2.764227642,598,97.23577236,615,100,1.694915254
1930,15,15,2.43902439,600,97.56097561,615,100,1.694915254
1931,26,26,4.227642276,589,95.77235772,615,100,1.506591337
1932,15,15,2.43902439,600,97.56097561,615,100,1.506591337
1933,15,15,2.43902439,600,97.56097561,615,100,1.506591337
1934,15,15,2.43902439,600,97.56097561,615,100,1.506591337
1935,16,15,2.43902439,600,97.56097561,615,100,1.506591337
1936,9,9,1.463414634,606,98.53658537,615,100,1.506591337
1937,11,11,1.788617886,604,98.21138211,615,100,1.31826742
1938,13,13,2.113821138,602,97.88617886,615,100,1.31826742
1939,12,12,1.951219512,603,98.04878049,615,100,1.694915254
1940,12,12,1.951219512,603,98.04878049,615,100,1.694915254
1941,13,13,2.113821138,602,97.88617886,615,100,1.883239171
1942,13,13,2.113821138,602,97.88617886,615,100,1.883239171
1943,14,14,2.276422764,601,97.72357724,615,100,1.694915254
1944,14,14,2.276422764,601,97.72357724,615,100,1.883239171
1945,33,32,5,608,95,640,100,2.071563089
1946,25,25,3.90625,615,96.09375,640,100,2.071563089
1947,22,22,3.4375,618,96.5625,640,100,1.506591337
1948,22,22,3.4375,618,96.5625,640,100,1.506591337
1949,22,22,3.4375,618,96.5625,640,100,1.883239171
1950,32,29,4.64,596,95.36,625,100,1.883239171
1951,21,21,3.36,604,96.64,625,100,2.071563089
1952,17,17,2.72,608,97.28,625,100,2.071563089
1953,21,21,3.36,604,96.64,625,100,2.448210923
1954,21,21,3.36,604,96.64,625,100,2.448210923
1955,28,25,3.968253968,605,96.03174603,630,100,3.389830508
1956,25,25,3.968253968,605,96.03174603,630,100,3.389830508
1957,27,27,4.285714286,603,95.71428571,630,100,3.013182674
1958,28,28,4.444444444,602,95.55555556,630,100,3.389830508
1959,31,31,4.920634921,599,95.07936508,630,100,3.370786517
1960,26,26,4.126984127,604,95.87301587,630,100,3.370786517
1961,26,26,4.126984127,604,95.87301587,630,100,3.724394786
1962,25,25,3.968253968,605,96.03174603,630,100,3.724394786
1963,25,25,3.968253968,605,96.03174603,630,100,2.61682243
1964,31,31,4.920634921,599,95.07936508,630,100,2.61682243
1965,28,28,4.444444444,602,95.55555556,630,100,2.429906542
1966,31,31,4.920634921,599,95.07936508,630,100,2.429906542
1967,26,26,4.126984127,604,95.87301587,630,100,2.056074766
1968,26,26,4.126984127,604,95.87301587,630,100,2.056074766
1969,27,27,4.285714286,603,95.71428571,630,100,2.056074766
1970,35,35,5.555555556,595,94.44444444,630,100,2.056074766
1971,26,26,4.126984127,604,95.87301587,630,100,2.61682243
1972,26,26,4.126984127,604,95.87301587,630,100,2.61682243
1973,28,28,4.444444444,602,95.55555556,630,100,3.177570093
1974,43,40,6.299212598,595,93.7007874,635,100,3.177570093
1975,28,27,4.251968504,608,95.7480315,635,100,3.551401869
1976,29,28,4.409448819,607,95.59055118,635,100,3.551401869
1977,29,28,4.409448819,607,95.59055118,635,100,3.364485981
1978,28,27,4.251968504,608,95.7480315,635,100,3.364485981
1979,31,30,4.724409449,605,95.27559055,635,100,3.364485981
1980,19,19,2.992125984,616,97.00787402,635,100,3.364485981
1981,20,20,3.149606299,615,96.8503937,635,100,3.925233645
1982,23,23,3.622047244,612,96.37795276,635,100,3.925233645
1983,33,30,4.615384615,620,95.38461538,650,100,4.485981308
1984,25,25,3.846153846,625,96.15384615,650,100,4.485981308
1985,25,25,3.846153846,625,96.15384615,650,100,4.485981308
1986,27,27,4.153846154,623,95.84615385,650,100,4.485981308
1987,48,48,7.384615385,602,92.61538462,650,100,4.672897196
1988,41,41,6.307692308,609,93.69230769,650,100,4.672897196
1989,42,42,6.461538462,608,93.53846154,650,100,5.046728972
1990,44,44,6.769230769,606,93.23076923,650,100,5.046728972
1991,44,44,6.769230769,606,93.23076923,650,100,5.607476636
1992,65,65,9.984639017,586,90.01536098,651,100,5.607476636
1993,61,61,9.370199693,590,90.62980031,651,100,10.09345794
1994,63,63,9.677419355,588,90.32258065,651,100,10.09345794
1995,63,63,9.677419355,588,90.32258065,651,100,10.46728972
1996,63,63,9.677419355,588,90.32258065,651,100,10.46728972
1997,144,135,20.48558422,524,79.51441578,659,100,11.21495327
1998,121,121,18.36115326,538,81.63884674,659,100,11.21495327
1999,121,121,18.36115326,538,81.63884674,659,100,12.14953271
2000,122,122,18.51289833,537,81.48710167,659,100,12.14953271
2001,132,132,20.03034901,527,79.96965099,659,100,13.45794393
2002,118,118,17.90591806,541,82.09408194,659,100,13.45794393
2003,119,119,18.05766313,540,81.94233687,659,100,13.64485981
2004,119,119,18.05766313,540,81.94233687,659,100,13.64485981
2005,161,157,24.30340557,489,75.69659443,646,100,14.76635514
2006,127,127,19.65944272,519,80.34055728,646,100,14.76635514
2007,126,126,19.50464396,520,80.49535604,646,100,16.26168224
2008,126,126,19.50464396,520,80.49535604,646,100,16.26168224
2009,126,126,19.50464396,520,80.49535604,646,100,17.00934579
2010,211,199,30.61538462,451,69.38461538,650,100,17.00934579
2011,145,145,22.30769231,505,77.69230769,650,100,17.38317757
2012,147,147,22.61538462,503,77.38461538,650,100,17.38317757
2013,147,147,22.61538462,503,77.38461538,650,100,17.94392523
2014,148,148,22.76923077,502,77.23076923,650,100,17.94392523
2015,229,229,35.23076923,421,64.76923077,650,100,19.43925234
2016,196,196,30.15384615,454,69.84615385,650,100,19.43925234
2017,232,232,35.69230769,418,64.30769231,650,100,19.43925234
2018,208,208,32,442,68,650,100,19.43925234
2019,208,208,32,442,68,650,100,23.78277154