Year,ukMeanPound,usMeanDollar,exchange,ukMeanDollar
1977,15136,56570.58,1.75,26488
1978,16506,56929.95,1.92,31692
1979,17283,58887.47,2.12,36640
1980,17931,57738.53,2.33,41779
1981,17410,54782.44,2.02,35168
1982,17006,53415.75,1.75,29761
1983,17476,53022.45,1.52,26564
1984,17799,53101.25,1.34,23851
1985,19019,54758.17,1.30,24725
1986,19747,55911.07,1.47,29028
1987,21056,57723.47,1.64,34532
1988,22948,58293.99,1.78,40847
1989,23255,58481.34,1.64,38138
1990,24415,59497.76,1.78,43459
1991,24721,58337.82,1.77,43756
1992,23747,56295.84,1.77,42032
1993,23477,55491.53,1.50,35216
1994,23883,54884.66,1.53,36541
1995,23690,55432.47,1.58,37430
1996,24946,57038.25,1.56,38916
1997,26149,57313.18,1.64,42884
1998,26870,58862.39,1.66,44604
1999,28546,60922.86,1.62,46245
2000,29117,62245.79,1.52,44258
2001,31337,62350.10,1.44,45125
2002,32258,60829.61,1.50,48387
2003,32695,60235.96,1.63,53293
2004,34021,60009.60,1.83,62258
2005,35142,59690.38,1.82,63958
2006,35801,60248.75,1.84,65874
2007,37044,60917.93,2.00,74088
2008,34777,61646.59,1.85,64337
2009,36238,59404.02,1.57,56894
2010,34750,59131.49,1.55,53863
2011,33870,57577.16,1.60,54192
2012,33301,56851.85,1.59,52949
2013,34569,56078.22,1.56,53928
2014,35181,58775.47,1.65,58049
2015,36516,57940.85,1.53,55869
2016,36263,60138.72,1.35,48955
2017,36735,62731.40,1.29,47388
2018,36511,63455.71,1.33,48560
2019,37108,64201.09,1.28,47498